time,open,high,low,close,vwap,volume,count
1701357300,0.03,0.03,0.03,0.03,0.66666666,3,
1701359100,0.0294,0.0294,0.0294,0.0294,0.6802721,2,
1701387000,0.029,0.029,0.029,0.029,1.00363621,2,
1701445500,0.031275,0.031275,0.031257,0.031257,6.67599,2,
1701447300,0.031157,0.031157,0.031157,0.031157,0.50148,1,
1701448200,0.02878,0.02878,0.02878,0.02878,13.51290573,13,
1701450000,0.028644,0.028644,0.028643,0.028643,1.14106,3,
1701451800,0.03087,0.03087,0.03087,0.03087,54.25229,1,
1701453600,0.030569,0.286393,0.028654,0.030503,283.7800387,13,
1701454500,0.030467,0.030467,0.030467,0.030467,17.19461,1,
1701455400,0.028644,0.028644,0.028644,0.028644,39.05539464,1,
1701457200,0.030242,0.030242,0.028644,0.03021,409.51878462,4,
1701458100,0.028644,0.030145,0.028644,0.030145,14.92702,2,
1701459000,0.028644,0.028644,0.028644,0.028644,4.3927979,1,
1701459900,0.028643,0.028643,0.02864,0.02864,33.9886,3,
1701460800,0.029992,0.029992,0.029992,0.029992,65.05258,1,
1701464400,0.029751,0.029751,0.02864,0.02864,40.51568,2,
1701465300,0.029692,0.029692,0.029692,0.029692,0.37918,1,
1701466200,0.02864,0.02864,0.02864,0.02864,11.0,1,
1701475200,0.02864,0.02864,0.02864,0.02864,1086.45436083,34,
1701494100,0.028821,0.028821,0.028821,0.028821,2.8,1,
1701505800,0.028912,0.028912,0.028909,0.028909,67.0,3,
1701507600,0.0334,0.0334,0.033338,0.033339,17.61580217,3,
1701514800,0.029008,0.030528,0.029008,0.030483,35.13342607,5,
1701516600,0.030093,0.030094,0.030093,0.030094,23.26088868,2,
1701517500,0.031012,0.031016,0.031012,0.031016,13.07749,4,
1701519300,0.030617,0.030617,0.030605,0.030606,34.4345856,3,
1701521100,0.02925,0.02925,0.02864,0.02864,357.47944042,7,
1701522000,0.028739,0.028857,0.028739,0.028857,1.82637,2,
1701522900,0.030831,0.030831,0.029013,0.029013,1.31210087,3,
1701526500,0.028939,0.028939,0.028938,0.028938,7.0,2,
1701527400,0.030579,0.030582,0.0291,0.0291,116.3331,6,
1701528300,0.028836,0.028836,0.028835,0.028835,33.97542419,2,
1701529200,0.028829,0.028829,0.028829,0.028829,0.03592,1,
1701530100,0.029043,0.029043,0.029042,0.029042,45.0,2,
1701536400,0.088765,0.088765,0.088765,0.088765,3.79033175,1,
1701537300,0.034741,0.034741,0.029882,0.029883,68.86846365,9,
1701541800,0.029142,0.029142,0.029091,0.029091,195.6312069,15,
