n,a1,a2,a3,b1,b2,b3,c1,c2,v1,v2,p1,p2,t1,t2,l1,l2,h1,h2,o,time
693,0.307500100,11196,11196.000,0.307500000,45628,45628.000,0.307500100,66.33805447,15306858.92109646,24700366.53277026,0.312203871,0.315827348,2896,4826,0.305502300,0.305502300,0.320937300,0.327913700,0.320167700,2021-06-16 15:51:53.235823
694,0.307778100,8530,8530.000,0.307778000,71143,71143.000,0.307778100,160.09000000,15307019.01109646,24700526.62277026,0.312203824,0.315827295,2897,4827,0.305502300,0.305502300,0.320937300,0.327913700,0.320167700,2021-06-16 15:52:53.384605
695,0.307778100,8530,8530.000,0.307778000,43669,43669.000,0.307778000,50.00000000,15308003.16109646,24701448.27277026,0.312203540,0.315826967,2901,4830,0.305502300,0.305502300,0.320937300,0.327913700,0.320167700,2021-06-16 15:53:53.521210
696,0.308013100,77,77.000,0.308013000,48401,48401.000,0.307778100,2867.48600000,15316532.42409646,24707977.53577026,0.312201076,0.315823964,2903,4831,0.305502300,0.305502300,0.320937300,0.327913700,0.320167700,2021-06-16 15:54:53.659449
697,0.308359400,14175,14175.000,0.308239700,9600,9600.000,0.308297800,104.78000000,15317591.40409646,24709036.51577026,0.312200802,0.315823639,2910,4838,0.305502300,0.305502300,0.320937300,0.327913700,0.320167700,2021-06-16 15:55:53.826313
698,0.308332500,9600,9600.000,0.308304600,17850,17850.000,0.308036500,531.33000000,15334922.73409646,24723767.84577026,0.312196286,0.315817946,2912,4838,0.305502300,0.305502300,0.320937300,0.327913700,0.320167700,2021-06-16 15:56:53.971746
699,0.308268100,9600,9600.000,0.308094300,9600,9600.000,0.308323400,191.72000000,15335314.45409646,24684214.82467252,0.312196186,0.315812308,2914,4835,0.305502300,0.305502300,0.320937300,0.327913700,0.320167700,2021-06-16 15:57:54.125605
700,0.308130200,4018,4018.000,0.308098100,4700,4700.000,0.307974600,324.55909458,15353996.97031481,24656455.06742273,0.312191433,0.315800626,2918,4831,0.305502300,0.305502300,0.320937300,0.327913700,0.320167700,2021-06-16 15:58:54.261454
701,0.308338000,9600,9600.000,0.308211100,4700,4700.000,0.308253400,5700.00000000,15414315.09031481,24716643.61742273,0.312175667,0.315781967,2926,4833,0.305502300,0.305502300,0.320937300,0.327913700,0.320167700,2021-06-16 15:59:54.400219
702,0.307870200,4700,4700.000,0.307697900,17845,17845.000,0.307704200,450.00000000,15414865.09031481,24717193.61742273,0.312175508,0.315781788,2928,4835,0.305502300,0.305502300,0.320937300,0.327913700,0.320167700,2021-06-16 16:00:54.534203
703,0.308649500,1,1.000,0.308578500,17783,17783.000,0.308649500,52.91851571,15425181.98501481,24678802.28712142,0.312172905,0.315771720,2940,4833,0.305502300,0.305502300,0.320937300,0.327913700,0.320167700,2021-06-16 16:01:54.664573
704,0.309397200,11000,11000.000,0.309341000,9600,9600.000,0.309173900,423.89500000,15428333.16506332,24589368.53430461,0.312172297,0.315754857,2956,4834,0.305502300,0.305502300,0.320937300,0.327913700,0.320167700,2021-06-16 16:02:54.796557
705,0.310381400,1,1.000,0.310381300,80142,80142.000,0.310381400,468.65963396,15435809.24270323,24576844.61194452,0.312171250,0.315749946,2975,4852,0.305502300,0.305502300,0.320937300,0.327913700,0.320167700,2021-06-16 16:03:54.934375
706,0.311552700,106,106.000,0.311424100,4700,4700.000,0.311234500,197.38027265,15705198.14774865,24685514.16698568,0.312152834,0.315671315,3013,4879,0.305502300,0.305502300,0.320937300,0.327913700,0.320167700,2021-06-16 16:04:55.066234
707,0.311220100,6270,6270.000,0.311155100,9600,9600.000,0.311249300,9485.37522815,15793683.98753492,24572922.92377090,0.312149236,0.315620689,3028,4886,0.305502300,0.305502300,0.320937300,0.327913700,0.320167700,2021-06-16 16:05:55.221276
708,0.312745800,29885,29885.000,0.312445700,9600,9600.000,0.312757200,317.86000000,15803806.94643855,24582175.88267453,0.312148780,0.315618823,3052,4909,0.305502300,0.305502300,0.320937300,0.327913700,0.320167700,2021-06-16 16:06:55.364294
709,0.313245800,9600,9600.000,0.313054700,17522,17522.000,0.312951900,134.63000000,15955307.53382706,24733676.47006304,0.312156587,0.315602604,3070,4927,0.305502300,0.305502300,0.320937300,0.327913700,0.320167700,2021-06-16 16:07:55.510292
710,0.312726100,38390,38390.000,0.312523600,17552,17552.000,0.312543700,544.38449124,15956011.81802920,24713829.99509952,0.312156605,0.315599236,3072,4922,0.305502300,0.305502300,0.320937300,0.327913700,0.320167700,2021-06-16 16:08:55.648508
711,0.312729400,6997,6997.000,0.312729300,31823,31823.000,0.312594500,3758.78564557,15982835.13802920,24739653.31509952,0.312157322,0.315595807,3076,4924,0.305502300,0.305502300,0.320937300,0.327913700,0.320167700,2021-06-16 16:09:55.786679
712,0.312424200,4700,4700.000,0.312296500,9600,9600.000,0.312402500,3155.46000000,15993166.96102920,24749895.91324762,0.312157627,0.315594554,3079,4925,0.305502300,0.305502300,0.320937300,0.327913700,0.320167700,2021-06-16 16:10:55.926358
713,0.312519300,4700,4700.000,0.312408000,9600,9600.000,0.312402500,3155.46000000,15993166.96102920,24749734.55533288,0.312157627,0.315594526,3079,4923,0.305502300,0.305502300,0.320937300,0.327913700,0.320167700,2021-06-16 16:11:56.065710
714,0.312529200,82,82.000,0.312529100,65499,65499.000,0.312407000,149.54000000,15993316.50102920,24749884.09533288,0.312157630,0.315594507,3080,4924,0.305502300,0.305502300,0.320937300,0.327913700,0.320167700,2021-06-16 16:12:56.208847
715,0.312812600,88,88.000,0.312714900,38354,38354.000,0.312652300,6944.52100000,16238625.35547875,24819646.30159939,0.312161839,0.315528635,3099,4931,0.305502300,0.305502300,0.320937300,0.327913700,0.320167700,2021-06-16 16:13:56.353047
716,0.312898400,75,75.000,0.312898300,88116,88116.000,0.312826600,215.64970600,16238928.63286148,24789564.75173212,0.312161851,0.315522644,3101,4927,0.305502300,0.305502300,0.320937300,0.327913700,0.320167700,2021-06-16 16:14:56.496930
717,0.312819800,8563,8563.000,0.312712200,9600,9600.000,0.312681600,17480.33470075,16283678.97067042,24834247.08954106,0.312163681,0.315517775,3106,4931,0.305502300,0.305502300,0.320937300,0.327913700,0.320167700,2021-06-16 16:15:56.632622
718,0.312840500,17484,17484.000,0.312576900,9600,9600.000,0.312413600,24507.58200000,16592541.03867042,25141599.73662198,0.312172392,0.315482045,3113,4935,0.305502300,0.305502300,0.320937300,0.327913700,0.320167700,2021-06-16 16:16:56.810782
719,0.312737200,4700,4700.000,0.312604000,17483,17483.000,0.312653400,200.00000000,16595018.92867042,25144077.62662198,0.312172452,0.315481759,3115,4937,0.305502300,0.305502300,0.320937300,0.327913700,0.320167700,2021-06-16 16:17:56.956604
